real,title
0,"Debunking the week's tabloid stories: Dec. 22, 2017"
0,How Much Alec Baldwin Makes Per Episode For Portraying Trump On SNL
0,Jim Carrey: 'The Illuminati is Brainwashing Children into Worshipping Satan'
0,Lance Armstrong's defiant Twitter photo shows him relaxing with seven yellow jerseys
0,Drew Barrymore Talks 'Honest' Friendship With Cameron Diaz: 'We Push Each Other' (Exclusive)
0,Vets for Trump Facebook page
0,Did Katie Holmes Call Tom Cruise & Demand He See Suri For The First Time In 4 Years?
0,Gigi Hadid pulls out of Victoria's Secret Fashion Show following 'racist' Buddha Instagram video
0,Are Brad Pitt and Jennifer Lawrence dating?
0,Ellen DeGeneres and Portia de Rossi Exchange Loving Anniversary Tributes in Celebration of Nine Years of Marriage
0,Eva Longoria Says 'Everything's Uncomfortable' in Pregnancy
0,Comment on Jennifer Aniston Is Reportedly Heartbroken Over Justin Theroux’s Plans To Move In With Emma Stone by Jackie
0,"Angelina Jolie has a ‘dirt diary’ about Brad Pitt’s boozing,violent rages and volatile behavior, source claims"
0,The pictures that have fans convinced Katie Holmes is pregnant
0,Kanye West Reportedly Refuses To Change Chicago’s Diapers & Kim Is Furious With Him
0,Connecting People Through News
0,Trump Removing Marines From the Navy
0,Justin Bieber & Selena Gomez Reportedly Searching For ‘Dream Home’ Together
0,OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES
0,"Here's a Timeline of Selena Gomez & Justin Bieber's Rocky Relationship, From Start to ...Finish?"
0,Michelle Pfeiffer dropped out of Sex and the City 3
0,Selena Gomez ‘Not Looking’ To Compete With Justin Bieber In Finding A Rebound Romance
0,"Caitlyn Jenner and O.J. Simpson Are Set to Reunite on TV: ""It Would Be Fascinating!"" (EXCLUSIVE)"
0,Mariah Carey Reportedly Proposed To BF Bryan Tanaka With Super Romantic Song: Wedding Plans Revealed
0,Trevor Noah shuts down fake death rumours - again
0,Meghan Markle and Prince Harry wedding drama FAQ: All the gossip you really want to know
0,Brunette Hair Color Tips from Kristen Stewart’s Breaking Dawn Hair Pro
0,Jennifer Lawrence and David O. Russell Are Not Dating
0,A look back at Brad Pitt's true romances following Angelina Jolie divorce
0,Traitor! Kim Kardashian’s Family ‘Furious’ Over Meeting With Donald Trump
0,Angelina Jolie: ‘I don’t enjoy being single’
0,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’
0,"Ellen DeGeneres Bio, Age, Married, Husband, Daughter, Partner, Salary and Net Worth"
0,Jennifer Aniston & Justin Theroux are done after two years of marriage
0,‘The Rock’ Bags $1M to Promote New Film on Social Media
0,Jay-Z and Beyonce Don’t Like Kim Kardashian – Will It Ruin Her Relationship with Kanye West?
0,Connecting People Through News
0,"Kylie Jenner & Khloe Kardashian Share Odd Pregnancy Cravings: Peanut Butter, Pickles & More"
0,Justin Bieber’s Gym Ban Lifted
0,Gwen Stefani & Blake Shelton: How Janet Jackson Has Inspired Her To Have Another Baby
0,Tobey Maguire
0,Russell Crowe slams claims he's 'dating' Sophia Forrest
0,Selena Gomez Reveals She Had a Kidney Transplant
0,Pier 39 Terrorist Was an Anti-Trump Antifa Supporter
0,"Celebrities slam Trump decision to end DACA as 'callous,' 'disgusting,' and a 'grave mistake'"
0,Paris Jackson ’ s Family Trying To Send Her Back To Rehab  Report
0,All Justin Bieber Wants Is to Get Back Together With Selena Gomez
0,"Donald Trump Is Not Welcome at ‘Harry Potter and the Cursed Child,’ Says Play’s Hermione"
0,"Alyson Hannigan, Alexis Denisof Marriage NOT “On The Rocks,” Despite Report"
0,21 best Selena Gomez Hollywood Life images on Pinterest
0,Billy Bush
0,"Beyonce, Shawn Mendes & More Stars Tweet Support For Earthquake Victims in Mexico City"
0,  Kris Jenner Jenner NOT Writing Revenge Memoir Revenge Memoir About Caitlyn  Despite Report
0,Britney Spears ‘Angry’ Over Child Support Battle
0,"Russell Crowe Not Pursuing Nicole Kidman, Despite Report"
0,Nicki Minaj Embarrassed
0,"Enquirer: Jennifer Garner is dating a lawyer, she introduced him to her family"
0,Jennifer Aniston's spokesman denies reports the 47-year-old actress expecting 'miracle baby'
0,Have We Noticed That Every Time Drake Dates a Woman He's Not Really Dating Her?
0,Brad Pitt Misses Seeing His Kids As He Goes Back To Work For First Time Since Angelina Jolie Split
0,Oprah Winfrey Reveals Why She Won't Marry Stedman Graham
0,Rihanna’s Awkward Exes! Leonardo & Drake Avoid Each Other At Pre-Oscars Bash
0,Kylie Wants To Retire From Celebrity Life ‘Permanently’ — But Is Her Family Taking Her Seriously?
0,Beyoncé to reunite with Destiny’s Child at Coachella
0,Dealing with Disappointing Relationships: Change Your Expectations
0,Hugh Hefner's wife Crystal Harris 'will inherit nothing'
0,Kendall Jenner Has a 'Really Special Connection' with Niece Stormi: She's 'So Comfortable with Me'
0,Brad Pitt Didn't Use Custody Negotiations To Get Back With Angelina Jolie
0,"John Lewis, celebs react as ABC cancels ‘Roseanne’"
0,Why Caitlyn Jenner Decided to Undergo Sex Reassignment Surgery
0,Celebrities React to Chuck Berry’s Death: ‘Hail to the King of Rock’ – Variety
0,"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’"
0,Kanye West Thought Kim Kardashian Might Divorce Him Over Slavery Comments
0,"Channing Tatum & Jenna Dewan: Jealousy & ‘Bitter’ Fights Led To Split, Reports ‘Radar Online’"
0,Report That Blake Shelton Will Propose To Gwen Stefani On Valentine’s Day Is Untrue [Debunked]
0,This 1 Country Singer Wants to Officiate Gwen Stefani and Blake Shelton’s Wedding
0,Selena Gomez Fears Run-In With Ex Justin Bieber at 2017 Billboard Music Awards
0,Nina Dobrev & Orlando Bloom Are ‘More Than Friends’ — Is He Already Over Katy Perry?
0,Duchess Meghan and Prince Harry Are Planning a U.S. Tour: Details!
0,"Katie Holmes’ trials: Fighting reports about a Jamie Foxx breakup and a Tom Cruise, Suri reunion"
0,Gigi Hadid Is Now Defending Her Leaner Body on Instagram
0,Rachel Lindsay Reveals the One Regret She Has About Her Time on The Bachelorette
0,Chris Hemsworth proves even he can be an embarrassing dad
0,PTC Analysis of YouTube Finds Explicit Content is One Click Away from Children
0,Tyga calls out Kim Kardashian on Instagram
0,‘Tormented’ Brad Pitt will only be allowed ‘to spend four hours with his children on Christmas Day’
0,Connecting People Through News
0,Eva Mendes attends Ryan Gosling's Song To Song premiere
0,"Self-protective, loving and intimate: What Kate and Wills’ body language with their new baby boy reveals"
0,Robert Pattinson  Bella Hadid New Couple Nor Cozied Up At Dior Paris Show  Report
0,Meghan Markle's maid of honour reveals 'real reason' her first marriage broke up
0,"Gavin Rossdale: ‘If you divorce America's sweetheart, you're in trouble’"
0,"Anna Faris Uncomfortable Watching Chris Pratt, Zoe Saldana Romantic Scenes?"
0,Blake Shelton Subtly Claps Back at Ex-Wife Miranda Lambert With Help From Buddy Luke Bryan
0,Did Kanye West Make A Diss Track About Donald Trump?
0,"Jamie Foxx's Friends Low-Key Think Katie Holmes ""Needs a Makeover"" (EXCLUSIVE)"
0,"Jennifer Lopez hired private detective to check out Alex Rodriguez cheating allegations, report says"
0,Rice told investigators why she unmasked Trump aides
0,Cindy Crawford Did Warn Daughter Kaia To Stay Away From Kendall Jenner  Report
0,TBT: See Photos of Paris Hilton and Kim Kardashian When They Were Friends
